type,id,geometry.type,geometry.coordinates,properties.xid,properties.name,properties.dist,properties.rate,properties.osm,properties.kinds,properties.wikidata
Feature,11541005,Point,"[1.3050929, 45.1266022]",W335784821,Maison Renaissance,6389.23155919,6,way/335784821,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Q22988175
Feature,7165892,Point,"[1.3053715, 45.127182]",N5841650522,,6432.66647039,0,node/5841650522,"fountains,cultural,urban_environment,interesting_places",
Feature,8078617,Point,"[1.3055301, 45.1270218]",W335786954,Église Saint-Sour de Terrasson,6437.83093779,6,way/335786954,"religion,churches,interesting_places,catholic_churches",Q22988166
Feature,11356632,Point,"[1.3044091, 45.1290512]",N5660812153,Monument aux morts de la guerre 1914-1918,6440.57683125,5,node/5660812153,"historic,monuments_and_memorials,burial_places,interesting_places,war_memorials,monuments",Q22996235
Feature,11725638,Point,"[1.3050336, 45.1285095]",W856427375,Ancien Pont,6462.6005246,7,way/856427375,"bridges,architecture,interesting_places,other_bridges",Q3558093
Feature,6815167,Point,"[1.1567416, 45.1341896]",N3693862564,Cluzeau des Fraux,6482.92574557,1,node/3693862564,"geological_formations,natural,interesting_places,caves",
Feature,7045570,Point,"[1.306581, 45.1268196]",N5830591855,Maison du Patrimoine,6507.31376492,1,node/5830591855,"cultural,museums,interesting_places,other_museums",
Feature,11263983,Point,"[1.1567588, 45.1346512]",N4544649736,Chartreuse des Fraux,6506.23490564,7,node/4544649736,"religion,fortifications,historic,monasteries,interesting_places,castles",Q22996217
Feature,2091777,Point,"[1.3072773, 45.1257973]",N5842078856,,6520.01433698,0,node/5842078856,"view_points,other,interesting_places",
Feature,7486533,Point,"[1.1631273, 45.0701523]",W264101012,Cimetière Gadal,6568.29803098,1,way/264101012,"cemeteries,historic,burial_places,interesting_places",
Feature,2091729,Point,"[1.1898172, 45.1584396]",W225564962,,6566.28519226,0,way/225564962,"cemeteries,historic,burial_places,interesting_places",
Feature,2091794,Point,"[1.3053535, 45.1307945]",N6258483573,,6586.52755484,0,node/6258483573,"fountains,cultural,urban_environment,interesting_places",
Feature,2091789,Point,"[1.3070134, 45.1280975]",N5842078857,,6589.96438048,0,node/5842078857,"view_points,other,interesting_places",
Feature,2091655,Point,"[1.1625454, 45.0701523]",W189035783,Ancien cimetière,6604.58691898,1,way/189035783,"cemeteries,historic,burial_places,interesting_places",
Feature,2091763,Point,"[1.3081398, 45.1265182]",W137128690,,6610.81349345,0,way/137128690,"cemeteries,historic,burial_places,interesting_places",
Feature,7486534,Point,"[1.1630111, 45.0696526]",W264101020,Nouveau cimetière,6609.7074964,1,way/264101020,"cemeteries,historic,burial_places,interesting_places",
